source_ip,destination_ip,start_time,Network_Node_Text,source_port,destination_port,flags,site,asn,num_packets,num_bytes,Label
135.b1d10.d1c38.20,135.0777d.04511.237,1415749946,Four bombs explode at Christian churches and one man dies in a hand grenade attack in Jakarta.,22,45092,-AP---,45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.13fe9.91,1415477729,Terrorists enter the home of a civilian and kill his wife.,45603,22,"-A----,-AP---",45c48,c4ca4,11,956,1
135.0777d.04511.237,135.b1d10.13fe9.71,1415702327,Two civilians are abducted from their homes then executed by the Mujahideen.,45596,22,"-A----,-AP---",45c48,c4ca4,11,956,1
135.b1d10.d1c38.119,135.0777d.04511.237,1415754478,Three separate terror attacks in the district leave a civilian and five security forces dead.,22,50107,-AP---,45c48,c4ca4,6,504,1
135.b1d10.13fe9.56,135.0777d.04511.237,1415749597,A Muslim militant kills two and injures twenty-five in a grenade attack on a city street.,22,45580,-AP---,45c48,c4ca4,6,504,0
135.b1d10.d1c38.72,135.0777d.04511.237,1415745508,A cleric is gunned down in a sectarian attack.,22,51595,-AP---,45c48,c4ca4,6,504,1
135.b1d10.d1c38.126,135.0777d.04511.237,1415754317,Two civilians are abducted and killed by the Mujahideen in separate incidents (Badran and Kulgam).,22,38662,-AP---,45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.d1c38.37,1415427333,An ambush on a security patrol leaves two members dead.,48823,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.0777d.04511.237,135.b1d10.d1c38.112,1415584036,Three brothers are killed in their home by Lashkar-e-Toiba terrorists.  A dozen others are injured in the attack.,51452,22,"-A----,-AP---",45c48,c4ca4,12,1008,0
135.0777d.04511.237,135.b1d10.d1c38.20,1415582789,"Four civilians, three of whom were in the same family are gunned down when fleeing their home after Jaish-e-Mohammed cadres flush them out with grenades.",45092,22,"-A----,-AP---",45c48,c4ca4,12,1008,0
135.b1d10.13fe9.91,135.0777d.04511.237,1415747239,Fifteen year-old flies plane into an office building in Tampa. Suicide note reveals his admiration for Osama Bin Laden and desire to commit a terrorist attack.,22,45603,-AP---,45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.13fe9.85,1415678603,Soldier killed by two Mujahideen suicide attackers.,59307,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.b1d10.13fe9.118,135.0777d.04511.237,1415743957,Palestinian terrorists infiltrate border and kill four soldiers. Two others were wounded.,22,36831,-AP---,45c48,c4ca4,6,504,0
135.b1d10.d1c38.79,135.0777d.04511.237,1415754477,Government official is killed by Islamists.,22,51495,-AP---,45c48,c4ca4,6,504,1
135.b1d10.13fe9.64,135.0777d.04511.237,1415754296,Terrorists kill a village official.,22,59296,-AP---,45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.d1c38.153,1415422624,A civilian is murdered by the Mujahideen.,38605,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.0777d.04511.237,135.b1d10.d1c38.208,1415477735,"In separate attacks, three civilians are killed by Islamic militants.  A security checkpoint is attacked as well, with three security forces killed.",51461,22,"-A----,-AP---",45c48,c4ca4,12,1008,0
135.0777d.04511.237,135.b1d10.d1c38.225,1415753589,Woman killed near gas station. Her aunt is injured in the shooting attack by Palestinians.,51457,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.0777d.04511.237,135.b1d10.9cfdf.109,1415753380,An American citizen is kidnapped then killed by Al-Aqsa Brigade.,41070,22,"-A----,-AP---",45c48,c4ca4,12,1008,0
135.0777d.04511.237,135.b1d10.9cfdf.109,1415668378,A man and his wife are abducted and killed by Lashkar-e-Toiba.,33003,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.b1d10.9cfdf.73,135.0777d.04511.237,1415745478,A Christian man is gunned down by angry Muslims while collecting fruit.,22,38660,"-A----,-AP---",45c48,c4ca4,6,504,1
135.b1d10.9cfdf.100,135.0777d.04511.237,1415753850,Five guards are injured in an Islamist attack on the airport.,22,32981,"-A----,-AP---",45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.9cfdf.100,1415754422,Arab killed in Jenin while sitting in a car bearing Israeli license plates.,32981,22,"-A----,-AP---",45c48,c4ca4,12,1008,0
135.b1d10.9cfdf.56,135.0777d.04511.237,1415742950,Terrorist barges into a bat mitzvah reception and kills six guests with an assault rifle. Thirty-five others also shot.,22,38594,"-A----,-AP---",45c48,c4ca4,6,504,1
135.0777d.04511.237,135.b1d10.9cfdf.91,1415472475,Two civilians are killed in a terrorist bombing.  Eight others are injured.,51488,22,"-A----,-AP---",45c48,c4ca4,12,1008,0
135.b1d10.d1c38.208,135.0777d.04511.237,1415754491,Two children are injured when a Muslim throws a grenade into a house.,22,51461,-AP---,45c48,c4ca4,6,504,1
135.b1d10.d1c38.151,135.0777d.04511.237,1415755361,"Muslim terrorists invade a home and slaughter eight children, two women and one man in a bloody rampage.",22,33012,"-A----,-AP---",45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.d1c38.151,1415140946,"Palestinian terrorist fires assault rifle into a bus-stop, killing two women and injuring forty others.",33012,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.b1d10.9cfdf.71,135.0777d.04511.237,1415753215,Five guards at the American Center are killed in a drive-by shooting attack by Islamists.,22,38650,-AP---,45c48,c4ca4,6,504,0
135.0777d.04511.237,135.b1d10.d1c38.114,1415699427,Two civilians are abducted and murdered by the Mujahideen.,36742,22,"-A----,-AP---",45c48,c4ca4,12,1008,1
135.b1d10.9cfdf.147,135.0777d.04511.237,1415749183,A security officer is killed in an ambush by Muslim militants.,22,36814,-AP---,45c48,c4ca4,6,504,0
